               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,             0.02703,            0.023082,           0.0041498,             0.83171,             0.71538,             0.77759,             0.57665,            0.032674,            0.011435,            0.022606,            0.007822,            0.007822,            0.007822
                  90,            0.027201,            0.023719,           0.0038505,             0.83851,             0.75402,             0.80001,             0.59864,            0.030783,            0.011663,            0.021981,           0.0077973,           0.0077973,           0.0077973
                  91,            0.027941,            0.025382,           0.0040582,             0.81692,             0.71349,              0.7991,             0.59448,            0.031941,            0.011659,            0.025453,           0.0077725,           0.0077725,           0.0077725
                  92,            0.026073,            0.022362,           0.0039535,             0.81034,             0.73122,             0.79854,             0.59822,            0.031793,            0.012097,            0.021888,           0.0077478,           0.0077478,           0.0077478
                  93,            0.026195,            0.023188,            0.003982,             0.91567,             0.63212,             0.79466,             0.59365,            0.032821,            0.011679,            0.021112,            0.007723,            0.007723,            0.007723
                  94,            0.027872,            0.023957,           0.0044353,             0.82837,             0.74782,             0.81625,              0.5978,            0.033587,            0.011516,            0.018384,           0.0076983,           0.0076983,           0.0076983
                  95,            0.027064,            0.023875,           0.0041159,             0.83223,             0.73868,             0.80785,             0.58603,            0.031981,            0.011649,            0.019427,           0.0076735,           0.0076735,           0.0076735
                  96,            0.026653,            0.024421,            0.003891,             0.79933,             0.73568,              0.7977,             0.58048,            0.032999,            0.012176,              0.0203,           0.0076488,           0.0076488,           0.0076488
                  97,            0.027579,             0.02454,           0.0030342,             0.82755,             0.74977,             0.81234,             0.59393,            0.032854,            0.011495,            0.021958,            0.007624,            0.007624,            0.007624
                  98,            0.026671,            0.023758,            0.003595,             0.81101,             0.77527,             0.82464,             0.63241,            0.031919,            0.011129,            0.019543,           0.0075993,           0.0075993,           0.0075993
                  99,            0.025925,            0.023123,           0.0034649,             0.86657,             0.71698,             0.80368,             0.60299,             0.03361,            0.011652,            0.016988,           0.0075745,           0.0075745,           0.0075745
                 100,            0.026315,            0.023388,           0.0041563,             0.77438,             0.79362,              0.7878,             0.59635,            0.032976,            0.011512,            0.023171,           0.0075498,           0.0075498,           0.0075498
                 101,            0.026252,            0.023346,           0.0037281,             0.83265,              0.7448,             0.80312,             0.62522,            0.031442,            0.011491,            0.022337,            0.007525,            0.007525,            0.007525
                 102,            0.026618,             0.02494,           0.0032757,              0.7989,             0.69102,             0.78347,             0.58314,            0.032123,            0.011908,            0.025752,           0.0075003,           0.0075003,           0.0075003
                 103,            0.026139,            0.022963,           0.0032757,             0.83971,             0.73939,             0.80656,             0.59009,            0.032751,            0.012444,            0.019612,           0.0074755,           0.0074755,           0.0074755
                 104,            0.025336,            0.022875,           0.0033321,             0.84498,              0.7166,             0.82846,             0.60438,            0.032981,            0.012376,            0.019991,           0.0074507,           0.0074507,           0.0074507
                 105,            0.026418,            0.022802,           0.0034406,             0.82538,             0.73546,             0.81006,             0.61498,            0.032384,            0.011592,            0.025679,            0.007426,            0.007426,            0.007426
                 106,            0.025982,            0.022661,           0.0032781,             0.87984,             0.70106,             0.78444,             0.61208,            0.032437,            0.011662,            0.023433,           0.0074013,           0.0074013,           0.0074013
                 107,            0.026285,            0.022743,           0.0038189,             0.85372,             0.72145,             0.79754,             0.61626,            0.031783,            0.011253,             0.02248,           0.0073765,           0.0073765,           0.0073765
                 108,            0.026208,            0.023141,           0.0035161,             0.86304,             0.75625,             0.79328,             0.58837,            0.034472,            0.012474,             0.02334,           0.0073517,           0.0073517,           0.0073517
                 109,            0.024925,            0.022289,           0.0039354,             0.86494,             0.68938,              0.7992,             0.60685,            0.032134,            0.011377,            0.022933,            0.007327,            0.007327,            0.007327
                 110,            0.026134,             0.02328,           0.0031419,             0.90633,             0.73267,             0.83003,               0.611,            0.032462,            0.011942,            0.018839,           0.0073023,           0.0073023,           0.0073023
                 111,            0.024981,            0.021628,           0.0038046,             0.86543,             0.67528,             0.79052,             0.59915,            0.033678,            0.012717,            0.018766,           0.0072775,           0.0072775,           0.0072775
                 112,            0.026301,            0.022211,           0.0036795,             0.87167,             0.69288,             0.79891,               0.602,            0.033353,            0.012179,            0.020889,           0.0072527,           0.0072527,           0.0072527
                 113,            0.026342,            0.023086,            0.003666,             0.82631,             0.69518,             0.78109,             0.59154,            0.032574,            0.012199,            0.022186,            0.007228,            0.007228,            0.007228
